project_id,metric,value,unit,window_start,window_end,source_url,fetched_at,missing_reason
das-anomaly,github_stars,28,stars,,,https://api.github.com/repos/DASDAE/das-anomaly,2026-08-03T10:30:37+00:00,
das-anomaly,github_forks,1,forks,,,https://api.github.com/repos/DASDAE/das-anomaly,2026-08-03T10:30:37+00:00,
das-anomaly,github_contributors,1,contributors,,,https://api.github.com/repos/DASDAE/das-anomaly,2026-08-03T10:30:37+00:00,
das-anomaly,github_releases,8,releases,,,https://api.github.com/repos/DASDAE/das-anomaly,2026-08-03T10:30:37+00:00,
das-anomaly,pypi_downloads_30d,,downloads,,2026-08-03,https://pypi.org/pypi/das-anomaly/json,2026-08-03T12:04:35+00:00,not_published
das-anomaly,pypi_downloads_180d,,downloads,,,https://pypi.org/pypi/das-anomaly/json,2026-08-03T12:04:35+00:00,not_published
das-anomaly,conda_downloads_cumulative,,downloads,,2026-08-03,https://api.anaconda.org/,2026-08-03T12:04:35+00:00,not_published
das-anomaly,canonical_citations,,citations,,2026-08-03,https://api.openalex.org/,2026-08-03T10:30:37+00:00,not_applicable
das-metadata,github_stars,32,stars,,,https://api.github.com/repos/DAS-RCN/DAS_metadata,2026-08-03T10:30:39+00:00,
das-metadata,github_forks,4,forks,,,https://api.github.com/repos/DAS-RCN/DAS_metadata,2026-08-03T10:30:39+00:00,
das-metadata,github_contributors,1,contributors,,,https://api.github.com/repos/DAS-RCN/DAS_metadata,2026-08-03T10:30:39+00:00,
das-metadata,github_releases,0,releases,,,https://api.github.com/repos/DAS-RCN/DAS_metadata,2026-08-03T10:30:39+00:00,
das-metadata,pypi_downloads_30d,,downloads,,2026-08-03,https://pypistats.org/api/,2026-08-03T10:30:39+00:00,not_published
das-metadata,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-03T10:30:39+00:00,not_published
das-metadata,conda_downloads_cumulative,,downloads,,2026-08-03,https://api.anaconda.org/,2026-08-03T10:30:39+00:00,not_published
das-metadata,canonical_citations,12,citations,,2026-08-03,https://api.openalex.org/works/https://doi.org/10.1785/0220230325,2026-08-03T10:31:42+00:00,
das-realtime,github_stars,9,stars,,,https://api.github.com/repos/Caltech-DASHub/DAS-realtime,2026-08-03T10:30:41+00:00,
das-realtime,github_forks,3,forks,,,https://api.github.com/repos/Caltech-DASHub/DAS-realtime,2026-08-03T10:30:41+00:00,
das-realtime,github_contributors,1,contributors,,,https://api.github.com/repos/Caltech-DASHub/DAS-realtime,2026-08-03T10:30:41+00:00,
das-realtime,github_releases,0,releases,,,https://api.github.com/repos/Caltech-DASHub/DAS-realtime,2026-08-03T10:30:41+00:00,
das-realtime,pypi_downloads_30d,,downloads,,2026-08-03,https://pypistats.org/api/,2026-08-03T10:30:41+00:00,not_published
das-realtime,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-03T10:30:41+00:00,not_published
das-realtime,conda_downloads_cumulative,,downloads,,2026-08-03,https://api.anaconda.org/,2026-08-03T10:30:41+00:00,not_published
das-realtime,canonical_citations,,citations,,2026-08-03,https://api.openalex.org/,2026-08-03T10:30:41+00:00,not_applicable
das4whales,github_stars,79,stars,,,https://api.github.com/repos/DAS4Whales/DAS4Whales,2026-08-03T10:30:42+00:00,
das4whales,github_forks,21,forks,,,https://api.github.com/repos/DAS4Whales/DAS4Whales,2026-08-03T10:30:42+00:00,
das4whales,github_contributors,4,contributors,,,https://api.github.com/repos/DAS4Whales/DAS4Whales,2026-08-03T10:30:42+00:00,
das4whales,github_releases,4,releases,,,https://api.github.com/repos/DAS4Whales/DAS4Whales,2026-08-03T10:30:42+00:00,
das4whales,pypi_downloads_30d,260,downloads,,2026-08-03,https://pypistats.org/api/packages/das4whales/recent,2026-08-03T12:04:35+00:00,
das4whales,pypi_downloads_180d,813,downloads,2026-02-03,2026-08-02,https://pypistats.org/api/packages/das4whales/recent,2026-08-03T12:04:35+00:00,
das4whales,conda_downloads_cumulative,,downloads,,2026-08-03,https://api.anaconda.org/,2026-08-03T12:04:35+00:00,not_published
das4whales,canonical_citations,1,citations,,2026-08-03,https://api.openalex.org/works/https://doi.org/10.5281/zenodo.7760187,2026-08-03T10:31:43+00:00,
dascore,github_stars,157,stars,,,https://api.github.com/repos/DASDAE/dascore,2026-08-03T10:30:44+00:00,
dascore,github_forks,40,forks,,,https://api.github.com/repos/DASDAE/dascore,2026-08-03T10:30:44+00:00,
dascore,github_contributors,18,contributors,,,https://api.github.com/repos/DASDAE/dascore,2026-08-03T10:30:44+00:00,
dascore,github_releases,33,releases,,,https://api.github.com/repos/DASDAE/dascore,2026-08-03T10:30:44+00:00,
dascore,pypi_downloads_30d,6066,downloads,,2026-08-03,https://pypistats.org/api/packages/dascore/recent,2026-08-03T12:04:42+00:00,
dascore,pypi_downloads_180d,13533,downloads,2026-02-03,2026-08-02,https://pypistats.org/api/packages/dascore/recent,2026-08-03T12:04:42+00:00,
dascore,conda_downloads_cumulative,46530,downloads,,2026-08-03,https://api.anaconda.org/package/conda-forge/dascore,2026-08-03T12:04:42+00:00,
dascore,canonical_citations,17,citations,,2026-08-03,https://api.openalex.org/works/https://doi.org/10.26443/seismica.v3i2.1184,2026-08-03T10:31:43+00:00,
dasexplorer,github_stars,7,stars,,,https://api.github.com/repos/sermomon/DASexplorer,2026-08-03T10:30:45+00:00,
dasexplorer,github_forks,2,forks,,,https://api.github.com/repos/sermomon/DASexplorer,2026-08-03T10:30:45+00:00,
dasexplorer,github_contributors,1,contributors,,,https://api.github.com/repos/sermomon/DASexplorer,2026-08-03T10:30:45+00:00,
dasexplorer,github_releases,4,releases,,,https://api.github.com/repos/sermomon/DASexplorer,2026-08-03T10:30:45+00:00,
dasexplorer,pypi_downloads_30d,218,downloads,,2026-08-03,https://pypistats.org/api/packages/dasexplorer/recent,2026-08-03T12:04:58+00:00,
dasexplorer,pypi_downloads_180d,587,downloads,2026-06-29,2026-08-02,https://pypistats.org/api/packages/dasexplorer/recent,2026-08-03T12:04:58+00:00,
dasexplorer,conda_downloads_cumulative,,downloads,,2026-08-03,https://api.anaconda.org/,2026-08-03T12:04:58+00:00,not_published
dasexplorer,canonical_citations,,citations,,2026-08-03,https://api.openalex.org/,2026-08-03T10:30:45+00:00,not_applicable
dasmasw,github_stars,0,stars,,,https://api.github.com/repos/DASDAE/dasmasw,2026-08-03T10:30:47+00:00,
dasmasw,github_forks,0,forks,,,https://api.github.com/repos/DASDAE/dasmasw,2026-08-03T10:30:47+00:00,
dasmasw,github_contributors,1,contributors,,,https://api.github.com/repos/DASDAE/dasmasw,2026-08-03T10:30:47+00:00,
dasmasw,github_releases,0,releases,,,https://api.github.com/repos/DASDAE/dasmasw,2026-08-03T10:30:47+00:00,
dasmasw,pypi_downloads_30d,,downloads,,2026-08-03,https://pypistats.org/api/,2026-08-03T10:30:47+00:00,not_published
dasmasw,pypi_downloads_180d,,downloads,,,https://pypistats.org/api/,2026-08-03T10:30:47+00:00,not_published
dasmasw,conda_downloads_cumulative,,downloads,,2026-08-03,https://api.anaconda.org/,2026-08-03T10:30:47+00:00,not_published
dasmasw,canonical_citations,,citations,,2026-08-03,https://api.openalex.org/,2026-08-03T10:30:47+00:00,not_applicable
daspack,github_stars,26,stars,,,https://api.github.com/repos/asleix/daspack,2026-08-03T10:30:48+00:00,
daspack,github_forks,5,forks,,,https://api.github.com/repos/asleix/daspack,2026-08-03T10:30:48+00:00,
