project_id,capability,present,source
a1das,conversion,True,curated
a1das,io,True,curated
a1das,processing,True,curated
alakoro-fibersense,io,True,curated
alakoro-fibersense,modeling,True,curated
alakoro-fibersense,processing,True,curated
alakoro-fibersense,visualization,True,curated
coherence-analysis,processing,True,curated
coherence-analysis,quality-control,True,curated
coherence-analysis,seismology,True,curated
cqi-das,machine-learning,True,curated
cqi-das,processing,True,curated
cqi-das,quality-control,True,curated
darkfiber,detection,True,curated
darkfiber,processing,True,curated
darkfiber,seismology,True,curated
das-ancc,inversion,True,curated
das-ancc,processing,True,curated
das-ancc,seismology,True,curated
das-ancc,surface-waves,True,curated
das-ani,parallel-computing,True,curated
das-ani,pipelines,True,curated
das-ani,processing,True,curated
das-ani,seismology,True,curated
das-anomaly,anomaly-detection,True,curated
das-anomaly,machine-learning,True,curated
das-anomaly,processing,True,curated
das-cc-gpu,parallel-computing,True,curated
das-cc-gpu,processing,True,curated
das-cc-gpu,seismology,True,curated
das-convert-mirror,conversion,True,curated
das-convert-mirror,io,True,curated
das-datakit,conversion,True,curated
das-datakit,io,True,curated
das-dvv,processing,True,curated
das-dvv,seismology,True,curated
das-events,detection,True,curated
das-events,io,True,curated
das-events,processing,True,curated
das-events,quality-control,True,curated
das-flink,detection,True,curated
das-flink,parallel-computing,True,curated
das-flink,processing,True,curated
das-flink,streaming,True,curated
das-grad,inversion,True,curated
das-grad,processing,True,curated
das-grad,surface-waves,True,curated
das-levels,bioacoustics,True,curated
das-levels,processing,True,curated
das-metadata,interoperability,True,curated
das-metadata,metadata,True,curated
das-n2n,denoising,True,curated
das-n2n,machine-learning,True,curated
das-n2n,processing,True,curated
das-nidf,processing,True,curated
das-nidf,visualization,True,curated
das-processing-pipeline,conversion,True,curated
das-processing-pipeline,detection,True,curated
das-processing-pipeline,io,True,curated
das-processing-pipeline,pipelines,True,curated
das-processing-pipeline,processing,True,curated
das-processing-pipeline,visualization,True,curated
das-realtime,machine-learning,True,curated
das-realtime,phase-picking,True,curated
das-realtime,seismology,True,curated
das-realtime,streaming,True,curated
das-sensitivity,modeling,True,curated
das-sensitivity,processing,True,curated
das-sensitivity,visualization,True,curated
das-simulator,interoperability,True,curated
das-simulator,simulation,True,curated
das-simulator,streaming,True,curated
das-source-locator,annotation,True,curated
das-source-locator,processing,True,curated
das-source-locator,visualization,True,curated
das-to-store,conversion,True,curated
das-to-store,data-management,True,curated
das-to-store,io,True,curated
das-to-store,object-storage,True,curated
das-toolkit,io,True,curated
das-toolkit,processing,True,curated
das-toolkit,visualization,True,curated
das-toolkit-filters,denoising,True,curated
das-toolkit-filters,processing,True,curated
das-tools-eth,io,True,curated
das-tools-eth,processing,True,curated
das-tools-eth,visualization,True,curated
das-vessel-detection,detection,True,curated
das-vessel-detection,machine-learning,True,curated
das-vessel-detection,processing,True,curated
das4whales,bioacoustics,True,curated
das4whales,detection,True,curated
das4whales,io,True,curated
das4whales,processing,True,curated
das4whales,visualization,True,curated
dascore,data-management,True,curated
dascore,data-model,True,curated
dascore,io,True,curated
dascore,processing,True,curated
dascore,visualization,True,curated
dascorepy,data-model,True,curated
dascorepy,interoperability,True,curated
daseventnet,detection,True,curated
daseventnet,machine-learning,True,curated
daseventnet,seismology,True,curated
dasexplorer,annotation,True,curated
dasexplorer,desktop-application,True,curated
dasexplorer,io,True,curated
dasexplorer,processing,True,curated
dasexplorer,visualization,True,curated
dasgauge,benchmarking,True,curated
dasgauge,processing,True,curated
dasio,data-management,True,curated
dasio,io,True,curated
dasio,processing,True,curated
dasjax,parallel-computing,True,curated
dasjax,processing,True,curated
daslab,io,True,curated
daslab,processing,True,curated
daslab,visualization,True,curated
dasmart-infra,benchmarking,True,curated
dasmart-infra,detection,True,curated
dasmart-infra,machine-learning,True,curated
dasmart-infra,processing,True,curated
dasmasw,processing,True,curated
dasmasw,surface-waves,True,curated
dasmasw,visualization,True,curated
dasmatrix,data-model,True,curated
